Model Name,Manufacturer,Platform,OVR,BOP,Reliability
Aston Martin Valkyrie LMH,Aston Martin,LMH,406,14,97
Ferrari 499P,Ferrari,LMH,420,2,99
Glickenhaus SCG 007 LMH,Glickenhaus,LMH,408,12,100
Isotta Fraschini Tipo 6 LMH-C,Isotta Fraschini,LMH,410,10,98
Peugeot 9X8 LMH,Peugeot,LMH,414,7,97
Toyota GR010 Hybrid,Toyota,LMH,423,0,99
Acura ARX-06,Acura,LMDh,411,11,98
Alpine A424,Alpine,LMDh,408,13,97
BMW M Hybrid V8,BMW,LMDh,407,13,97
Cadillac V-Series.R,Cadillac,LMDh,412,10,98
Lamborghini SC63,Lamborghini,LMDh,409,14,99
Porsche 963,Porsche,LMDh,412,10,98
Acura NSX GT3 Evo22,Acura,GT3,283,9,96
Aston Martin Vantage AMR GT3 Evo,Aston Martin,GT3,290,3,98
BMW M4 GT3,BMW,GT3,290,3,99
Corvette Z06 GT3.R,Corvette,GT3,288,4,95
Ferrari 296 GT3,Ferrari,GT3,293,1,99
Ford Mustang GT3,Ford,GT3,286,6,96
Glickenhaus SCG 004 GT3,Glickenhaus,GT3,287,4,97
Lamborghini Huracan GT3 Evo 2,Lamborghini,GT3,289,5,93
Lexus RC F GT3,Lexus,GT3,282,10,98
McLaren 720S GT3 Evo,McLaren,GT3,288,4,97
Mercedes-AMG GT3 Evo,Mercedes,GT3,292,3,99
Nissan GT-R Nismo GT3,Nissan,GT3,280,9,94
Porsche 911 GT3 R,Porsche,GT3,287,7,97
